livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
120.0,3.0,1.0,2.0,,2.0,,,,50.5991028,3.6235826,,house,Hainaut,Wallonie,B,A,,Gas,0,0,1,0,0,0,0,0,0,1,990.0,21.1
87.0,2.0,1.0,,,2.0,6.0,245.0,,50.8478956,4.3837785,2.38,flat,Brussels,Brussels,E,Fully renovated,,,0,0,1,0,0,0,0,0,0,0,1400.0,74.1
90.0,2.0,1.0,1.0,2001.0,3.0,2.0,91.0,,50.421206,4.8633172,5.17,flat,Namur,Wallonia,B,Normal,,Gas,0,0,0,0,0,1,0,0,0,0,920.0,26.3
90.0,2.0,1.0,,,,,,,50.8453177,4.4028016,,flat,Brussels,Brussels,D,,,,0,0,0,0,0,0,0,0,0,0,1250.0,78.4
,1.0,,,,,,,,50.863423,4.3547239,,house,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,800.0,65.9
120.0,3.0,1.0,1.0,,,,240.0,,50.7092287,4.5215345,19.48,flat,Walloon Brabant,Wallonia,C,Normal,Fully equipped,Gas,0,0,1,1,0,0,0,0,0,0,1450.0,59.9
95.0,2.0,1.0,1.0,1995.0,2.0,,137.0,,51.29415,4.502288,10.83,flat,Antwerp,Flanders,B,Normal,,Gas,0,0,1,0,0,0,0,0,0,0,1090.0,33.1
433.0,5.0,4.0,,2026.0,,1.0,169.0,1435.0,50.7039366,4.541351199999999,,villa,Walloon Brabant,Wallonie,B,,Fully equipped,Gas,0,0,1,1,0,0,1,0,0,1,3900.0,53.6
48.0,1.0,1.0,,,,,,,50.49179065,3.59063457,,house,Hainaut,Wallonia,G,,,,0,0,0,0,0,0,0,0,0,0,575.0,20.4
146.0,3.0,1.0,2.0,1898.0,2.0,2.0,383.0,,50.8257621,4.3623051,2.49,flat,Brussels,Brussels,G,Excellent,Super equipped,Gas,0,0,1,0,0,0,0,0,0,0,2350.0,74.1
140.0,3.0,1.0,,,2.0,,231.0,,50.5040695,4.1083749,5.97,house,Hainaut,Wallonia,C,Fully renovated,Fully equipped,Gas,0,0,1,0,0,0,1,0,0,0,1090.0,27.1
98.0,2.0,,1.0,,,,209.0,,50.0286317,4.1649981,,flat,Hainaut,Wallonie,C,B,Fully equipped,Electricity,0,0,0,0,0,0,0,0,0,0,600.0,3.6
120.0,2.0,2.0,2.0,2026.0,2.0,5.0,,,50.8465225,4.3517633,,flat,Brussels,Brussels,B,A,Super equipped,Electricity,0,0,1,0,0,1,1,0,1,0,2200.0,86.8
,3.0,1.0,,,,,,,50.8502672,5.4839605,,flat,Limburg,Flanders,C,,,,0,0,0,0,0,0,0,0,0,0,925.0,25.0
120.0,3.0,,1.0,2021.0,,,,,50.8300009,4.314716,3.09,flat,Brussels,Brussels,,New,,Hot air,0,0,1,0,0,0,0,0,0,0,1650.0,64.9
60.0,1.0,,1.0,2022.0,,6.0,,,50.8452914,4.3752151,1.78,flat,Brussels,Brussels,,New,Fully equipped,Electricity,0,0,1,1,0,0,0,0,0,0,1175.0,86.5
60.0,1.0,1.0,1.0,,,10.0,139.0,,50.8427501,4.3515499,0.45,flat,Brussels,Brussels,C,Excellent,,,0,0,0,0,1,1,0,0,0,1,1200.0,87.1
90.0,3.0,1.0,1.0,1950.0,3.0,1.0,,5.0,50.5560617,5.272095999999999,,house,Liège,Wallonie,G,B,Fully equipped,Fuel oil,0,0,1,0,0,0,1,0,0,0,825.0,38.3
178.0,2.0,1.0,,,,,211.0,129.0,50.72712,3.19532,2.05,house,Hainaut,Wallonia,C,,,,0,0,0,0,0,0,0,0,0,0,825.0,9.1
