livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
54.0,1.0,1.0,,,,,,,50.4888628,5.0953471,,flat,Liège,Wallonia,E,,,,0,0,0,0,0,0,0,0,0,0,125000.0,21.4
105.0,3.0,,,,,,,,50.4648026,4.3461804,,house,Hainaut,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,217000.0,19.1
41.0,1.0,1.0,1.0,2025.0,4.0,5.0,80.0,,50.468673,4.8545007,1.24,flatStudio,Namur,Wallonia,A,New,,,1,0,1,0,0,1,0,0,0,1,231000.0,77.2
186.0,2.0,,,,2.0,3.0,,,50.7998324,3.9254148,17.45,flat,East Flanders,Flanders,,,,,1,0,1,0,0,0,0,0,0,0,485460.0,70.9
153.0,3.0,1.0,2.0,,,,241.0,,50.738441,3.2337149,1.99,house,Hainaut,Wallonia,C,,,,0,0,0,0,0,0,0,0,0,0,209000.0,21.3
440.0,4.0,2.0,,,,,,,51.0300642,5.0445051,,house,Limburg,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,599000.0,32.5
99.0,2.0,1.0,,,,,,,51.2250834,2.9111675,,flat,West Flanders,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,369000.0,62.8
80.0,2.0,1.0,1.0,,2.0,2.0,204.0,223.0,50.5287372,5.2588542,18.13,house,Liège,Wallonia,C,Fully renovated,Fully equipped,,0,0,0,1,0,0,0,0,0,0,229000.0,52.3
102.0,2.0,,,,,,,,50.5534332,4.7024756,,duplex,Namur,Wallonia,,,,,0,0,0,0,0,0,0,0,0,0,350000.0,64.4
52.0,1.0,1.0,,,,,,,50.8522733,4.3756932,,flat,Brussels,Brussels,G,,,,0,0,0,0,0,0,0,0,0,0,125000.0,57.1
118.0,2.0,,,,,,,,50.7449736,4.2437641,,flat,Flemish Brabant,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,345500.0,46.2
124.0,2.0,1.0,,,,,,,50.6373769,5.5709067,,flat,Liège,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,463250.0,58.8
158.0,3.0,1.0,2.0,,4.0,,295.0,723.0,51.209082,3.4486611,15.6,house,East Flanders,Flanders,C,,,,0,0,1,1,0,0,0,0,0,1,419900.0,42.8
118.0,2.0,1.0,,,,,,,50.6363415,5.5697833,1.01,flat,Liège,Wallonia,,New,,,1,0,1,0,0,0,0,0,0,0,349000.0,60.8
86.0,2.0,1.0,,,,,,,50.8501851,4.3707827,,flat,Brussels,Brussels,E,,,,0,0,0,0,0,0,0,0,0,0,225000.0,84.9
173.0,3.0,1.0,,1936.0,,,60.0,334.0,51.1276887,4.1993833,5.7,house,East Flanders,Flanders,A,Fully renovated,,Solar energy,0,0,0,0,0,0,1,1,1,0,345000.0,30.3
183.0,3.0,2.0,,,,,,,50.6468937,4.2150887,,house,Walloon Brabant,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,401210.0,24.9
,2.0,1.0,,,,,,,50.4473065,3.8584349,,house,Hainaut,Wallonia,G,,,,0,0,0,0,0,0,0,0,0,0,79000.0,4.8
144.0,3.0,1.0,2.0,2009.0,4.0,,302.0,1081.0,50.4122259,5.786103,20.61,house,Liège,Wallonia,D,Excellent,Fully equipped,Electricity,0,0,1,1,0,0,1,0,0,1,449000.0,29.1
56.0,1.0,1.0,,,,,,,50.6363497,5.5845999,,flat,Liège,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,129900.0,28.9
111.0,3.0,1.0,1.0,,2.0,2.0,414.0,490.0,50.5042495,3.5887503,18.15,house,Hainaut,Wallonia,E,To renovate,,Gas,0,0,1,1,0,0,1,0,0,0,105000.0,6.0
116.0,2.0,1.0,1.0,1970.0,,,199.0,,50.9196904,4.1841506,10.61,flat,Flemish Brabant,Flanders,B,Excellent,Super equipped,Gas,0,0,1,0,0,0,1,0,0,0,348000.0,66.4
178.0,3.0,1.0,,1933.0,2.0,,219.0,423.0,50.8479,5.548886,9.98,house,Limburg,Flanders,C,Excellent,,Gas,0,0,0,0,0,0,0,0,0,0,439000.0,74.9
,3.0,,,,,,,,50.4007281,4.1015871,,house,Hainaut,Wallonia,C,,,,0,0,0,0,0,0,0,0,0,0,250000.0,17.5
81.0,2.0,,,,4.0,,1024.0,1165.0,50.3221203,4.3880774,10.64,house,Hainaut,Wallonia,G,,,Fuel oil,0,0,1,1,0,0,0,0,0,1,170000.0,31.1
232.0,5.0,3.0,,,,,,,50.8203958,4.3883965,,house,Brussels,Brussels,C,,,,0,0,0,0,0,0,0,0,0,0,1350000.0,94.5
407.0,5.0,4.0,5.0,1954.0,3.0,2.0,165.0,980.0,50.8299133,4.2947055,,villa,Brussels,Brussels,D,A,Super equipped,Gas,0,0,1,1,0,0,1,0,0,1,979000.0,37.4
170.0,4.0,2.0,,,,,,,51.1866016,4.5658487,,house,Antwerp,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,420000.0,64.7
168.0,5.0,1.0,2.0,,,,234.0,135.0,51.22811,4.449139,3.39,house,Antwerp,Flanders,C,Normal,,Gas,0,0,0,1,0,0,0,0,0,0,324900.0,32.9
240.0,4.0,1.0,,,,,,,49.8526005,5.2586326,,house,Luxembourg,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,319000.0,18.5
82.0,2.0,1.0,1.0,1960.0,2.0,3.0,236.0,,51.21149,4.455832,3.82,flat,Antwerp,Flanders,C,To be renovated,,Fuel oil,0,0,0,0,0,0,0,0,0,0,195000.0,43.9
60.0,1.0,1.0,1.0,1961.0,,5.0,134.0,,51.1111618,2.6106111,,flat,West Flanders,Flanders,B,A,Super equipped,Electricity,0,0,1,0,0,1,0,0,0,0,399000.0,73.6
115.0,2.0,1.0,2.0,2023.0,2.0,6.0,45.0,,50.8324378,4.3239892,2.41,duplex,Brussels,Brussels,A,New,Super equipped,,1,0,1,1,0,1,1,0,0,1,419500.0,73.5
